E NO.,GENERAL NAME,SCIENTIFIC NAME ,PACKAGING NAME,CATEGORY OPTION,FOUND IN INDIAN FOOD,INDIAN PRODUCT EXAMPLE,FSSAI STATUS,EU STATUS,FDA STATUS,ADI MG PER KG BW,METABOLISM ROUTE,ACCUMULATES IN BODY,SOLUBILITY,CARCINOGENIC RISK,ALLERGIC REACTIONS,REACTION SEVERITY,POPULATION SENSITIVITY PERCENT,MEDICATION INTERACTIONS,DIABETES TYPE 2 (SCORE),HYPERTENSION (SCORE),ASTHMA (SCORE),CELIAC DISEASE (SCORE),IBS (SCORE),CHRONIC KIDNEY DISEASE (SCORE),LIVER DISEASE (SCORE),THYROID DISORDERS (SCORE),AUTOIMMUNE CONDITIONS (SCORE),ADHD (SCORE),HEART DISEASE (SCORE),PREGNANCY (SCORE),LACTATION (SCORE),INFANTS O TO 2 YRS (SCORE),CHILDREN 3 TO 12 YRS (SCORE),ELDERLY 60+ (SCORE),PEANUT ALLERGY (SCORE),SHELFISH ALLERGY (SCORE),DAIRY ALLERGY (SCORE),GLUTEN SENSITIVITY (SCORE),SOY ALLERGY (SCORE)
,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E460,CELLULOSE,Cellulose,CELLULOSE,STABILIZER,YES,PARLE-G BISCUIT,APPROVED,APPROVED,APPROVED,NOT SPECIFIED,GUT,NO,INSOLUBLE,NO,"DIGESTIVE DISCOMFORT,BLOATING",MILD,1 TO 2,"YES[ thyroid medications, certain cardiac drugs (reduced absorption as bulk filler)]",0,0,0,0,0.33,0.33,0,0,0,0,0,0,0,0.33,0,0.33,0,0,0,0,0
E466,CARBOXYMETHYL CELLULOSE,Sodium carboxymethyl cellulose,CARBOXYMETHYL CELLULOSE,STABILIZER,YES,"NESTLE MAGGIE NOODLES,PARLE-G",APPROVED,APPROVED,APPROVED,NOT ALLOCATED,GUT,NO,WATER,SUSPECTED,"SKIN RASH,GASTRO INTESTINAL DISCOMFORT",MILD,0.1 TO 0.5,"YES[thyroid medications, certain oral drugs (reduced absorption as bulk thickener)]",0.33,0,0,0,0.67,0,0.33,0.33,0.33,0,0.33,0,0,0.67,0.33,0.33,0,0,0,0,0
E951,ASPARTAME,N‑L‑α‑aspartyl‑L‑phenylalanine 1‑methyl ester,ASPARTAME,SWEETNER,YES,"COCO COLA,DIET PEPSI",APPROVED,APPROVED,APPROVED,40,GUT,NO ,WATER,SUSPECTED,"SKIN RASH,HIVES,BREATHING ISSUE",MILD,1 TO 2,"YES[MAO inhibitors (antidepressants), levodopa (Parkinson's medications)]",0.33,0,0.33,0,0.33,0.33,0.33,0.33,0.33,0.33,0,0.33,0.33,0.67,0.33,0.33,0,0,0,0,0
E954,SACCHARIN,Saccharin,SACCHARIN,SWEETNER,YES,SOFT DRINKS,APPROVED,APPROVED,APPROVED,5,KIDNEY,NO ,WATER,SUSPECTED,"SKIN RASH,HIVES,BREATHING ISSUE",MILD,1 TO 2,"YES(sulfonamide antibiotics, certain diuretics)",0.33,0,0.33,0,0.33,0.67,0,0,0.33,0.33,0,0.33,0.33,0.67,0.33,0.33,0,0,0,0,0
E955,SUCRALOSE,trichlorogalactosucrose,SUCRALOSE,SWEETNER,YES,SOFT DRINKS,APPROVED,APPROVED,APPROVED,15,KIDNEY,NO,WATER,SUSPECTED,"ABDOMINAL PAIN,DIARRHEA,HIVES,RASH",MILD,1 TO 2,YES[certain medications metabolized by liver enzymes (CYP450 interactions)],0.33,0,0,0,0.33,0.33,0.33,0.33,0.33,0,0,0.33,0.33,0.67,0.33,0.33,0,0,0,0,0
E950,ACESULFAME POTASSIUM,Acesulfame potassium,ACESULFAME K,SWEETNER,YES,SOFT DRINKS,APPROVED,APPROVED,APPROVED,15,KIDNEY,NO ,WATER,SUSPECTED,"SKIN RASH,HEADACHE,BREATHING ISSUES",MILD,LESS THAN 1,"YES(certain diuretics, medications using renal tubular transport)",0.33,0.33,0,0,0.33,0.67,0,0.67,0.33,0,0,0.33,0.33,0.67,0.33,0.33,0,0,0,0,0
E960,STEVIOL GLYCOSIDES,Steviol Glycosides,STEVIOL GLYCOSIDES,SWEETNER,YES,SUGAR FREE DRINKS,APPROVED,APPROVED,APPROVED,4,LIVER,NO ,WATER,NO,"SKIN RASH,HIVES,GASTRO INTESTINAL DISCOMFORT",MILD,1 TO 2,"YES[Blood Pressure medications (additive hypotension), Diabetes medications (additive blood glucose lowering)]",0.33,0.33,0,0,0.33,0.33,0.33,0,0,0,0,0,0,0.67,0,0.33,0,0,0,0,0
E320,BHA,3(2)-tert-Butyl-4-hydroxyanisole,BHA,ANTIOXIDENT,YES,"PACAKAGED EDIBLE OIL, VANPATI,GHEE,FRIED SNACKS",APPROVED,APPROVED,APPROVED,0.5,LIVER,YES,FAT,SUSPECTED,"SKIN RASH,HIVES,BREATHING ISSUE",MODERATE,1 TO 2,"YES[blood Thinners (anticoagulants),certain liver-metabolized medications] ",0.33,0.33,0,0.33,0,0.33,0.33,0.33,0.33,0.33,0,0.33,0.67,0.67,0.67,0.33,0.33,0,0,0,0
E321,BHT,"2,6-Di-tert-butyl-4-methylphenol",BHT,ANTIOXIDENT,YES,NOT CONFIRMED,APPROVED,APPROVED,APPROVED,0.3,LIVER,NO,FAT,SUSPECTED,"SKIN RASH,IRRITATION",MILD,1 TO 2,NO,0,0,0.33,0,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.67,0.33,0.33,0,0,0,0,0
E319,TBHQ,"2-(1,1-Dimethylethyl)-1,4-benzenediol (tert-Butylhydroquinone)",TBHQ,ANTIOXIDENT,YES,NOT CONFIRMED,APPROVED,APPROVED,APPROVED,0.7,LIVER,NO,FAT,SUSPECTED,"SKIN RASH,HIVES,BREATHING ISSUE",MODERATE,1 TO 2,NO,0.33,0.33,0.33,0,0.33,0.33,0.33,0.33,0.67,0.33,0.33,0.33,0.33,0.67,0.33,0.33,0.33,0.33,0,0,0.33
E120,CARMINE,"7-β-D-Glucopyranosyl-9,10-dihydro-3,5,6,8-tetrahydroxy-1-methyl-9,10-dioxo-2-anthracenecarboxylic acid (carminic acid)",CARMINE,COLOURENT,YES,NOT CONFIRMED,RESTRICTED,APPROVED,APPROVED,5,GUT,NO,WATER,NO,"SKIN RASH,HIVES,NGODEMA",LIFE THREATNING,1 TO 3,NO,0,0,0.67,0,0.33,0,0,0,0.33,0,0,0.33,0.33,0.67,0.33,0.33,0,0.33,0,0,0
E160b,ANNATO,Annato,ANNATO,COLOURENT,YES,NOT CONFIRMED,APPROVED,APPROVED,APPROVED,0 TO 0.065,GUT,NO,WATER AND FAT,NO,"SKIN RASH,HIVES,NGODEMA",SEVER,1 TO 2,NO,0.33,0,0.33,0,0.33,0,0.33,0,0.33,0.33,0,0.33,0.33,0.33,0.33,0,0.33,0,0.33,0,0
E100,CURCUMIN,"(1E,6E)-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione (Diferuloylmethane)",CURCUMIN,COLOURENT,YES,"MDH CURRY POWDER,EVEREST TURMERIC POWDER",APPROVED,APPROVED,APPROVED,3,LIVER,NO,FAT,NO,"SKIN RASH,HIVES",MODERATE,LESS THAN 1,"YES[anticoagulants (warfarin, aspirin), diabetes medications (glyburide), antacids]",0,0,0,0,0,0.33,0.33,0,0,0,0,0.33,0.33,0.33,0.33,0,0,0,0,0,0
E150a,CARAMEL COLOR,Plain Caramel,CARAMEL COLOR,COLOURENT,YES,"BISCUIT,SAUCE,COLA",APPROVED,APPROVED,APPROVED,NOT SPECIFIED,GUT,NO,WATER,NO,"SKIN RASH,HIVES,GASTRO INTESTINAL DISCOMFORT",MILD,NOT FOUND,NO,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0.33,0.33,0.33,0.33,0.33,0.67,0.33,0.33,0,0,0.33,0.33,0
E171,TITANIUM DIOXIDE,Dioxotitanium,TITANIUM DIOXIDE,COLOURENT,YES,CENTERFRESH,APPROVED,BANNED,APPROVED,NOT SPECIFIED,DIRECT EXCRETION,YES,WATER,SUSPECTED,"SKIN RASH,GUT INFLAMMATION",MILD,LESS THAN 1,NO,0.33,0.33,0.33,0.33,0.67,0.33,0.67,0.33,0.67,0.33,0.33,0.67,0.67,1,0.67,0.33,0,0,0,0.33,0
E551,SILICON DIOXIDE,Synthetic Amorphous Silica,SILICON DIOXIDE,STABILIZER,YES,NOT CONFIRMED,APPROVED,APPROVED,APPROVED,NOT SPECIFIED,DIRECT EXCRETION,NO,WATER,NO,MILD DEGISTIVE DISCOMFORT,MILD,NOT FOUND,NO,0,0,0.33,0,0.33,0,0,0,0.33,0,0,0,0,0.33,0,0,0,0,0,0,0
E572,MAGNESIUM STEARATE,Magnesium distearate (magnesium octadecanoate); formula: Mg(C₁₇H₃₅COO)₂,MAGNESIUM STEARATE,EMULSIFIER,YES,"HEALTHCART,HIMALYA,SUPPLEMENT TABLETS",APPROVED,APPROVED,APPROVED,NOT SPECIFIED,GUT,NO,FAT,NO,SKIN RASH,MILD,LESS THAN 1,YES,0,0,0,0,0.33,0.33,0,0,0,0,0,0,0,0.33,0,0.33,0,0,0,0,0
E252,POTASSIUM NITARTE,Potassium Nitarte,POTASSIUM NITARTE/SALTPETRE,PRESERVATIVE,YES,NOT CONFIRMED,APPROVED,APPROVED,APPROVED,3.7,GUT,NO,WATER,SUSPECTED,"HEADACHE,DIZZINESS,SKIN  FLUSHING",SEVER,NOT FOUND,YES[antihypertensives (nitrate may potentiate vasodilatory effects); medications metabolized via methemoglobin-forming pathways],0.33,0.33,0.33,0,0.33,0.67,0.33,0.67,0.33,0.33,0.33,0.67,0.33,1,0.67,0.33,0,0,0,0,0
E202,POTASSIUM SORBATE,"Potassium (2E,4E)-hexa-2,4-dienoate; Potassium salt of trans,trans-2,4-hexadienoic acid",POTASSIUM SORBATE,PRESERVATIVE,YES,NOT CONFIRMED,APPROVED,APPROVED,APPROVED,25,LIVER,NO,WATER,SUSPECTED,"SKIN RASH,HIVES",MILD,1 TO 2,NO,0,0.33,0.33,0,0.33,0.33,0.33,0,0.33,0.33,0.33,0.33,0.33,0.67,0.33,0.33,0,0,0,0,0
E160a,BETA CAROTENE,"β,β-Carotene (all-trans-β-carotene; C₄₀H₅₆)",BETA CAROTENE,COLOURENT,YES,AMUL BUTTER,APPROVED,APPROVED,APPROVED,NOT ALLOCATED,GUT,YES,FAT,SUSPECTED,"SKIN YELLOWING,RARE HIVES,SKIN RASH",MILD,LESS THAN 1,"YES[cholesterol-lowering drugs (cholestyramine, colestipol, statins/niacin combinations), weight-loss drugs (orlistat), mineral oil]",0,0,0,0,0,0.33,0.33,0,0,0,0.33,0,0,0.33,0,0,0,0,0,0,0
E306,TOCOPHEROLS,"Tocopherol-rich extract (mixture of α-, β-, γ-, δ-tocopherols)",TOCOPHEROLS,ANTIOXIDENT,YES,"SUNDROP HEART OIL,SUFFOLA GOLD",APPROVED,APPROVED,APPROVED,O.5 TO 2,LIVER,YES,FAT,NO,SKIN RASH,MILD,LESS THAN 1,YES[anticoagulants (warfarin/aspirin) at high supplemental doses],0,0,0,0,0,0.33,0.33,0,0,0,0.33,0,0,0.33,0,0,0,0,0,0,0.33
E410,LOCUST BEAN GUM,Galactomannan polysaccharide,LOCUST BEAN GUM,STABILIZER,YES,NOT CONFIRMED,APPROVED,APPROVED,APPROVED,NOT SPECIFIED,GUT,NO,WATER,NO,RESPIRATORY SYPMTONS,SEVER,LESS THAN 1,NO,0,0,0.33,0,0.33,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0
E420,SORBITOL,"D-Glucitol (D-Sorbitol); 1,2,3,4,5,6-hexanehexol; C₆H₁₄O₆",SORBITOL,SWEETNER,YES,"ORBIT,HAPPYDENT",APPROVED,APPROVED,APPROVED,NOT SPECIFIED,GUT/LIVER,NO,WATER,NO,"BLOATING,DIARRHEA,ABDOMINAL CRAMPS",MILD,10 TO 15,YES[laxatives and osmotic agents (additive laxative effect); caution with metformin and medications for IBS (pharmacodynamic interaction)],0.33,0,0,0,0.67,0.33,0.33,0,0,0,0,0.33,0,0.67,0.33,0.33,0,0,0,0,0
E421,MANNITOL,"D-Mannitol (1,2,3,4,5,6-hexanehexol)",MANNITOL,SWEETNER,YES,NOT CONFIRMED,APPROVED,APPROVED,APPROVED,NOT SPECIFIED,GUT,NO ,WATER,NO,"BLOATING,DIARRHEA",MILD,LESS THAN 1,"YES(diuretics, osmotic agents, kidney-affecting medications)",0,0.33,0,0,0.67,0.33,0.33,0,0,0,0.33,0.33,0.33,0.33,0.33,0.33,0,0,0,0,0
E422,GLYCEROL,"Propane-1,2,3-triol (also: 1,2,3-propanetriol; glycerine; glycerin)",GLYCEROL,STABILIZER,YES,NOT CONFIRMED,APPROVED,APPROVED,APPROVED,NOT SPECIFIED,LIVER,NO ,WATER,NO,"HEADACHE,NAUSEA",MILD,NOT FOUND,NO,0.33,0,0,0,0.33,0.33,0.33,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0.33
E170,CALCIUM CARBONATE,Calcium Carbonate,CALCIUM CARBONATE,COLOURENT,YES,NOT CONFIRMED,APPROVED,APPROVED,APPROVED,NOT SPECIFIED,GUT,YES,WATER,NO,"GASTRO INTESTINAL DISCOMFORT,CONSTIPATION",MILD,NOT FOUND,"YES[thyroid medications (levothyroxine), iron supplements, tetracycline and quinolone antibiotics, bisphosphonates]",0,0,0,0,0.33,0.33,0,0.33,0,0,0.33,0,0,0.33,0,0.33,0,0,0,0,0
E341,CALCIUM PHOSPHATES,"Calcium orthophosphates (mono-, di-, and tribasic); primary members: Calcium dihydrogen phosphate / Calcium hydrogen phosphate / Tricalcium bis(phosphate)",CALCIUM PHOSPHATES,STABILIZER,YES,NOT CONFIRMED,APPROVED,APPROVED,APPROVED,NOT ALLOCATED,KIDNEY,YES,WATER,NO,"GASTRO INTESTINAL DISCOMFORT,CONSTIPATION",MILD,NOT FOUND,"YES(biophosphates,tetracycline antibiotics,digoxin)",0.33,0.33,0,0,0.33,1,0.33,0.33,0,0,0.33,0,0,0.33,0.33,0.33,0,0,0,0,0
